Sales_organisation_cd,APPLE_ID,CUST_ID,Legal Name,price_grp_cd,AUTH_DESCRIPTION,Billing_Block_Cd,Order_Block_Cd,Delivery_Block_Cd,Posting_Block_Cd,Sales_Block_Cd,Marked_For_Delete_Ind,Acct_Status_Cd
1200,46150,97890,"""SINOCITY INDUSTRIES LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46150,867440,"""SINOCITY INDUSTRIES LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46150,1059281,"""SINOCITY INDUSTRIES LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46154,97891,"""VIEWCON INTERNATIONAL LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,ZB,,,,N,ACTIVE
1200,46154,1224407,"""VIEWCON INTERNATIONAL LIMITED""",,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,46155,97892,"""CABLEX COMPUTER ACCESSORIES""",PH,APPLE CPU + IPOD,,ZB,91,,,Y,INACTIVE
1200,46155,1224322,"""CABLEX COMPUTER ACCESSORIES""",,APPLE CPU + IPOD,,,91,,,N,ACTIVE
1200,46159,97895,"""NEW PRODUCT TESTING""",RC,,4,,91,,,N,INACTIVE
1200,46159,1224353,"""NEW PRODUCT TESTING""",,,,,,,,N,ACTIVE
1200,46164,97888,"""ULTIMATE PC & MAC GALLERY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46164,863754,"""ULTIMATE PC & MAC GALLERY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46292,97883,"""SENCO-MASSLINK TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,46292,651579,"""SENCO-MASSLINK TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,46292,860062,"""SENCO-MASSLINK TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,46376,97880,"""NEW VISION TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46376,462327,"""NEW VISION TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH, WATCH EDITION",,,,,,N,ACTIVE
1200,46384,97881,"""AD COMPUTER CO. LTD.""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,ZB,,,,N,ACTIVE
1200,46384,1224406,"""AD COMPUTER CO. LTD.""",,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,102797,503147,"""INCONIX TECHNOLOGIES LIMITED""",RC,"APPLE CPU, IPAD, IPOD",,ZB,91,,,Y,INACTIVE
1200,102797,1223960,"""INCONIX TECHNOLOGIES LIMITED""",,"APPLE CPU, IPAD, IPOD",,,91,,,N,ACTIVE
1200,113996,97893,"""JARDINE ONESOLUTION (MACAU) LIMITED""",PH,,,ZB,91,,,Y,INACTIVE
1200,113996,1224408,"""JARDINE ONESOLUTION (MACAU) LIMITED""",,,,,91,,,N,ACTIVE
1200,114000,97903,"""FIRMA TOPS""",PH,APPLE CPU + IPOD,,ZB,,,,N,INACTIVE
1200,114000,97904,"""FIRMA TOPS""",P3,APPLE CPU + IPOD,,ZB,,,,N,INACTIVE
1200,114001,99598,"""JOS DEPOT (HK) LTD.""",PH,,,ZB,91,,,Y,INACTIVE
1200,114001,1223912,"""JOS DEPOT (HK) LTD.""",,,,,91,,,N,ACTIVE
1200,114002,502605,"""BROADWAY PHOTO SUPPLY LTD.""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,114002,813135,"""BROADWAY PHOTO SUPPLY LTD.""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, HOMEPOD, IPAD, IPHONE, IPOD, WATCH",,,,,,N,ACTIVE
1200,114003,502878,"""PCCW-HKT NETWORK SERVICES LTD.""",RC,APPLE CPU + IPOD,,ZB,91,,,Y,INACTIVE
1200,114003,1224478,"""PCCW-HKT NETWORK SERVICES LTD.""",,APPLE CPU + IPOD,,,91,,,N,ACTIVE
1200,114004,504381,"""PCCW-HKT Limited""",P6,,,ZB,91,,,Y,INACTIVE
1200,114004,1224281,"""PCCW-HKT LIMITED""",,,,,91,,,N,ACTIVE
1200,114005,505606,"""JADASON TECHNOLOGY LIMITED""",RC,"APPLE CPU, APPLETV, BEATS PRODUCTS, IPAD, IPHONE, WATCH, WATCH SPORT",,ZB,91,,,Y,INACTIVE
